date,min_temp_c,max_temp_c,mean_temp_c,mean_humidity,mean_wind_speed,mean_solar_irradiance,max_solar_irradiance,day_of_week,lmp_opr_hour_01,lmp_opr_hour_02,lmp_opr_hour_03,lmp_opr_hour_04,lmp_opr_hour_05,lmp_opr_hour_06,lmp_opr_hour_07,lmp_opr_hour_08,lmp_opr_hour_09,lmp_opr_hour_10,lmp_opr_hour_11,lmp_opr_hour_12,lmp_opr_hour_13,lmp_opr_hour_14,lmp_opr_hour_15,lmp_opr_hour_16,lmp_opr_hour_17,lmp_opr_hour_18,lmp_opr_hour_19,lmp_opr_hour_20,lmp_opr_hour_21,lmp_opr_hour_22,lmp_opr_hour_23,lmp_opr_hour_24,lmp_opr_hour_25
2023-01-26,7.2,17.6,11.579167,62.208333,9.8875,165.166667,630.0,3,124.58233,124.11442,123.12204,122.74371,126.55367,154.41914,190.27396,156.2759,124.56427,106.7325,93.97264,84.16893,73.41,69.97709,77.01465,106.66743,144.18121,174.56174,169.96637,162.21233,159.03587,155.25044,147.48724,139.36267,
2023-01-27,5.4,16.5,10.120833,67.791667,9.945833,169.083333,643.0,4,82.8972,77.98443,75.6748,74.82669,83.58872,103.06221,119.39131,100.81588,73.07154,60.41281,53.64116,45.53,39.32,33.8,34.31983,58.05645,82.19873,104.11482,100.10359,92.03284,90.51087,87.72114,82.58601,78.66116,
2023-01-28,6.5,15.8,10.808333,81.958333,10.741667,150.958333,598.0,5,86.99934,89.11712,87.58338,88.98645,93.28994,103.2047,112.90202,95.41607,70.92211,54.10032,46.64077,30.77286,19.70961,17.85542,21.40416,50.69519,96.27152,114.81895,111.68921,106.19556,100.52577,99.41429,95.78344,91.91899,
2023-01-29,9.5,12.6,10.804167,83.583333,13.541667,77.25,278.0,6,98.46892,97.35806,93.72275,92.87672,95.00076,94.91542,99.7332,92.06571,71.37999,51.91063,45.95302,43.59345,45.96,49.67423,54.50083,79.821,111.16067,128.62433,128.92125,123.23693,120.07957,118.67859,112.96082,101.46,
2023-01-30,8.5,12.2,10.0625,84.0,10.2875,64.416667,236.0,0,102.10571,98.6783,98.19431,98.69412,108.02547,127.39701,160.0794,162.64638,122.31,102.37792,93.36845,91.65465,88.1268,85.8494,88.34542,96.21441,136.07079,170.28725,165.1,157.46738,154.90979,147.92282,130.93,120.04999,
2023-01-31,5.6,17.0,10.545833,50.958333,11.216667,175.75,665.0,1,102.46857,96.46568,91.14206,95.50608,102.40547,123.48999,145.80174,136.36333,85.42622,68.4,53.77839,45.7026,33.9853,31.83492,38.82733,66.90684,98.6457,136.16573,135.20856,133.13,129.69,121.73209,106.30678,98.07899,
2023-02-01,4.5,16.2,9.7375,56.833333,10.083333,177.833333,668.0,2,110.20166,106.61,104.87,106.25412,111.89663,132.05614,155.49948,137.01518,101.05629,79.43479,65.73932,57.0,40.0,30.87115,42.07984,84.2578,111.48507,141.75932,144.6276,135.8751,122.37686,119.4404,111.30039,107.99959,
2023-02-02,5.8,16.8,10.654167,64.625,10.483333,148.75,538.0,3,139.94562,139.84428,135.87,140.57793,147.52963,166.88606,191.22163,173.19218,133.39864,118.96527,110.78572,108.50058,110.22812,108.04713,116.28622,133.51726,161.11316,178.56831,180.40675,177.51,166.82787,158.42184,146.30103,146.75156,
2023-02-03,7.5,16.8,11.733333,66.208333,9.325,151.25,645.0,4,70.43804,64.02931,60.44133,60.60726,60.87238,75.07316,93.91994,89.66766,67.69406,57.89435,52.98314,49.66296,46.70971,44.46366,45.27477,47.70241,60.0,85.28897,87.80681,81.53,77.70077,68.8974,59.18767,61.75022,
2023-02-04,7.2,17.7,11.95,73.041667,11.370833,175.041667,653.0,5,65.31238,58.09465,57.462,57.32574,59.36499,59.99814,71.61299,55.45962,37.93721,18.59399,5.51787,3.44615,1.91371,1.84748,5.53,28.03794,55.37158,75.79412,76.62654,67.5455,60.71652,57.86133,54.40675,53.18947,
