model_id,model_name,run,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,hidden_layers,hidden_width,dropout,weight_decay,init_seed,batch_size,max_epochs,early_stopping_patience,activation,batch_norm
xgb_001,xgb,1,100.0,3.0,0.05,0.9,0.9,1.0,,,,,,,,,,
xgb_002,xgb,2,100.0,2.0,0.01,0.75,0.95,30.0,,,,,,,,,,
xgb_003,xgb,3,100.0,4.0,0.03,1.0,0.6,10.0,,,,,,,,,,
xgb_004,xgb,4,100.0,5.0,0.1,0.6,1.0,3.0,,,,,,,,,,
xgb_005,xgb,5,100.0,6.0,0.15,0.95,0.75,0.3,,,,,,,,,,
xgb_006,xgb,6,50.0,3.0,0.01,0.6,0.6,0.3,,,,,,,,,,
xgb_007,xgb,7,50.0,2.0,0.03,0.95,1.0,1.0,,,,,,,,,,
xgb_008,xgb,8,50.0,4.0,0.1,0.9,0.75,30.0,,,,,,,,,,
xgb_009,xgb,9,50.0,5.0,0.15,0.75,0.9,10.0,,,,,,,,,,
xgb_010,xgb,10,50.0,6.0,0.05,1.0,0.95,3.0,,,,,,,,,,
xgb_011,xgb,11,150.0,3.0,0.03,0.75,0.75,3.0,,,,,,,,,,
xgb_012,xgb,12,150.0,2.0,0.1,1.0,0.9,0.3,,,,,,,,,,
xgb_013,xgb,13,150.0,4.0,0.15,0.6,0.95,1.0,,,,,,,,,,
xgb_014,xgb,14,150.0,5.0,0.05,0.95,0.6,30.0,,,,,,,,,,
xgb_015,xgb,15,150.0,6.0,0.01,0.9,1.0,10.0,,,,,,,,,,
xgb_016,xgb,16,250.0,3.0,0.1,0.95,0.95,10.0,,,,,,,,,,
xgb_017,xgb,17,250.0,2.0,0.15,0.9,0.6,3.0,,,,,,,,,,
xgb_018,xgb,18,250.0,4.0,0.05,0.75,1.0,0.3,,,,,,,,,,
xgb_019,xgb,19,250.0,5.0,0.01,1.0,0.75,1.0,,,,,,,,,,
xgb_020,xgb,20,250.0,6.0,0.03,0.6,0.9,30.0,,,,,,,,,,
xgb_021,xgb,21,350.0,3.0,0.15,1.0,1.0,30.0,,,,,,,,,,
xgb_022,xgb,22,350.0,2.0,0.05,0.6,0.75,10.0,,,,,,,,,,
xgb_023,xgb,23,350.0,4.0,0.01,0.95,0.9,3.0,,,,,,,,,,
xgb_024,xgb,24,350.0,5.0,0.03,0.9,0.95,0.3,,,,,,,,,,
xgb_025,xgb,25,350.0,6.0,0.1,0.75,0.6,1.0,,,,,,,,,,
nn_001,torch_mlp,1,,,0.001,,,,2.0,128.0,0.1,0.0001,20260510.0,64.0,300.0,25.0,relu,False
nn_002,torch_mlp,2,,,0.0003,,,,2.0,32.0,0.0,0.001,404.0,64.0,300.0,25.0,relu,False
nn_003,torch_mlp,3,,,0.01,,,,2.0,64.0,0.05,0.0,303.0,64.0,300.0,25.0,relu,False
nn_004,torch_mlp,4,,,0.0001,,,,2.0,192.0,0.2,0.01,202.0,64.0,300.0,25.0,relu,False
nn_005,torch_mlp,5,,,0.003,,,,2.0,256.0,0.3,1e-05,101.0,64.0,300.0,25.0,relu,False
nn_006,torch_mlp,6,,,0.0001,,,,1.0,128.0,0.0,0.0,101.0,64.0,300.0,25.0,relu,False
nn_007,torch_mlp,7,,,0.003,,,,1.0,32.0,0.05,0.01,20260510.0,64.0,300.0,25.0,relu,False
nn_008,torch_mlp,8,,,0.001,,,,1.0,64.0,0.2,1e-05,404.0,64.0,300.0,25.0,relu,False
nn_009,torch_mlp,9,,,0.0003,,,,1.0,192.0,0.3,0.0001,303.0,64.0,300.0,25.0,relu,False
nn_010,torch_mlp,10,,,0.01,,,,1.0,256.0,0.1,0.001,202.0,64.0,300.0,25.0,relu,False
nn_011,torch_mlp,11,,,0.0003,,,,3.0,128.0,0.05,1e-05,202.0,64.0,300.0,25.0,relu,False
nn_012,torch_mlp,12,,,0.01,,,,3.0,32.0,0.2,0.0001,101.0,64.0,300.0,25.0,relu,False
nn_013,torch_mlp,13,,,0.0001,,,,3.0,64.0,0.3,0.001,20260510.0,64.0,300.0,25.0,relu,False
nn_014,torch_mlp,14,,,0.003,,,,3.0,192.0,0.1,0.0,404.0,64.0,300.0,25.0,relu,False
nn_015,torch_mlp,15,,,0.001,,,,3.0,256.0,0.0,0.01,303.0,64.0,300.0,25.0,relu,False
nn_016,torch_mlp,16,,,0.003,,,,4.0,128.0,0.2,0.001,303.0,64.0,300.0,25.0,relu,False
nn_017,torch_mlp,17,,,0.001,,,,4.0,32.0,0.3,0.0,202.0,64.0,300.0,25.0,relu,False
nn_018,torch_mlp,18,,,0.0003,,,,4.0,64.0,0.1,0.01,101.0,64.0,300.0,25.0,relu,False
nn_019,torch_mlp,19,,,0.01,,,,4.0,192.0,0.0,1e-05,20260510.0,64.0,300.0,25.0,relu,False
nn_020,torch_mlp,20,,,0.0001,,,,4.0,256.0,0.05,0.0001,404.0,64.0,300.0,25.0,relu,False
nn_021,torch_mlp,21,,,0.01,,,,5.0,128.0,0.3,0.01,404.0,64.0,300.0,25.0,relu,False
nn_022,torch_mlp,22,,,0.0001,,,,5.0,32.0,0.1,1e-05,303.0,64.0,300.0,25.0,relu,False
nn_023,torch_mlp,23,,,0.003,,,,5.0,64.0,0.0,0.0001,202.0,64.0,300.0,25.0,relu,False
nn_024,torch_mlp,24,,,0.001,,,,5.0,192.0,0.05,0.001,101.0,64.0,300.0,25.0,relu,False
nn_025,torch_mlp,25,,,0.0003,,,,5.0,256.0,0.2,0.0,20260510.0,64.0,300.0,25.0,relu,False
